Rec,Inf,Name,Position,Club,On Loan From,Based,Asking Price,Wage,Expires,Nat,2nd Nat,Home-Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Mins,Gls,Ast,Clean sheets,xG - Goals,npxG,npxG - npG,npxG per 90,npxG per Shot (min. 10 shots),Offsides per npxG (min. 1 npxG),Assist per Key Pass (min. 5 KP),Net Fouls,Yellow Cards per Tackle,Tackles Won per 90,Defensive Actions per 90,Apps,Starts,Mins,Mins/Gm,Av Rat,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,Con/90,Clean sheets,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,Substitute Appearances,Minutes per Game,Tackles Attempted,Distance per 90
- - -,,David Strelec,"AM (R), ST (C)",Spezia,,Italy (Serie A),-,"£17,250 p/w",30/6/2026,SVK,,-,"6'1""",73 kg,Left,22,Fairly Ambitious,Scouting Required,£2.2M - £4.6M,0 (7),99,0,0,-,0.07,0.07,0.07,0.035,,,,0,0,0.5,11.27,0 (7),-,99,25.67,6.63,0,-,2,2,100%,1.82,1.82,0,0,-,1,0.07,0,-,0,-,1,0.91,42,38.18,35,31.82,83%,1,0,0%,0,-,1,16.9km,14,12.73,8,7.27,57%,0,1,0.91,100%,1,0,0,4,3.64,1,-,-,-,-,-,-,-,-,1,0,-,0,7,,1,15.364
- - -,,Hwang Hee-Chan,"M (R), AM (RL), ST (C)",Wolves,,England (Premier Division),-,"£55,000 p/w",30/6/2026,KOR,,-,"5'10""",77 kg,Right,27,Resolute,Scouting Required,£7.4M - £11.5M,0 (1),19,0,0,-,,,,,,,,0,,,,0 (1),-,19,19,6.6,0,-,0,-,-,-,-,0,0,-,0,0,1,-,0,-,0,-,7,-,5,-,71%,0,0,0%,0,-,0,3.6km,2,-,0,-,0%,0,-,-,-,0,0,0,0,-,1,-,-,-,-,-,-,-,-,0,0,-,0,1,,,17.053
- - -,,Hwang Ui-Jo,"AM (R), ST (C)",Bordeaux,,France (Ligue 1 Uber Eats),-,"£23,500 p/w",30/6/2025,KOR,,-,"6'1""",82 kg,Right,31,Balanced,Scouting Required,£250K - £2.6M,0 (5),134,0,0,-,1.42,1.42,1.42,0.71,,0,,-2,0,0.5,7.25,0 (5),-,134,26.8,6.7,0,-,7,3,43%,4.7,2.01,0,0,-,0,1.42,0,-,0,-,4,2.69,54,36.27,49,32.91,91%,1,0,0%,0,-,3,19.8km,18,12.09,6,4.03,33%,0,1,0.67,50%,1,0,0,0,-,5,-,-,-,-,-,-,-,-,2,0,-,0,5,,2,13.299
- - -,,Lee Jae-Sung,M/AM (C),Mainz 05,,Germany (Bundesliga),-,"£46,000 p/w",30/6/2025,KOR,,-,"5'11""",69 kg,Left,31,Fairly Professional,Scouting Required,Not for Sale,11 (1),918,1,1,-,0.63,1.63,0.63,0.16,0.082,0.61,0.077,-1,0,0.98,6.63,11 (1),11,918,105.27,7.06,1,0.1,20,6,30%,1.96,0.59,0,0,-,1,1.63,4,0.4,1,0.1,13,1.27,517,50.69,435,42.65,84%,19,7,36%,7,0.69,10,142.1km,62,6.08,37,3.63,60%,0,10,0.98,59%,9,0,0,13,1.27,15,-,-,-,-,-,-,-,-,17,0,-,1,1,76.5,17,13.931
- - -,,Sergio Asenjo,GK,Villarreal,,Spain (First Division),-,"£51,000 p/w",30/6/2024,ESP,,-,"6'2""",86 kg,Right,34,Fairly Professional,Scouting Required,£210K - £2.1M,2,120,0,0,1,,,,,,,,0,,,,2,2,120,60,7.45,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.75,55,41.25,33,24.75,60%,-,-,-,0,-,0,8.9km,-,-,-,-,-,0,-,-,-,0,0,0,0,-,-,1,0.75,1,0%,1,0,3,-20%,0,0,-,0,,60,,6.675
- - -,,Raúl García,"M (C), AM (RC), ST (C)",A. Bilbao,,Spain (First Division),-,"£54,000 p/w",30/6/2025,ESP,BAS,-,"6'0""",82 kg,Right,37,Perfectionist,Scouting Required,£850K - £1.9M,0 (9),204,0,0,-,0.33,0.33,0.33,0.11,,,,1,0.5,0.667,6.88,0 (9),-,204,22.67,6.76,0,-,2,1,50%,0.88,0.44,0,0,-,2,0.33,0,-,0,-,4,1.76,94,41.47,80,35.29,85%,4,2,50%,1,0.44,5,30.3km,21,9.26,12,5.29,57%,0,2,0.88,100%,6,1,0,2,0.88,2,-,-,-,-,-,-,-,-,2,0,-,0,9,,2,13.368
- - -,,Bernardo,D (C),Girona,,Spain (First Division),-,"£15,250 p/w",30/6/2025,COL,ESP,-,"6'4""",84 kg,Right,34,Balanced,Scouting Required,Not for Sale,12,"1,014",1,1,-,-0.15,0.85,-0.15,0.075,,,,11,0.333,0.621,21.07,12,12,"1,014",84.5,6.76,1,0.09,7,3,43%,0.62,0.27,0,0,-,1,0.85,0,-,1,0.09,3,0.27,642,56.98,588,52.19,92%,1,0,0%,0,-,0,116.3km,151,13.4,128,11.36,85%,2,7,0.62,78%,11,3,1,23,2.04,87,-,-,-,-,-,-,-,-,9,0,-,0,,84.5,9,10.322
- - -,,Gonzalo Melero,M/AM (C),Levante,,Spain (First Division),-,"£19,250 p/w",30/6/2025,ESP,,-,"6'0""",79 kg,Right,29,Balanced,Scouting Required,£4.5M - £5.8M,5 (5),621,0,2,-,1.3,1.3,1.3,0.188,,0,0.4,5,0.5,0.571,5.33,5 (5),5,621,62.1,6.84,0,-,9,2,22%,1.3,0.29,0,0,-,0,1.3,3,0.43,2,0.29,5,0.72,457,66.23,422,61.16,92%,2,0,0%,0,-,5,82.7km,24,3.48,16,2.32,67%,0,4,0.58,100%,10,2,0,8,1.16,12,-,-,-,-,-,-,-,-,4,0,-,0,5,62.1,4,11.986
- - -,Inj,David Soria,GK,Getafe,,Spain (First Division),-,"£57,000 p/w",30/6/2026,ESP,,-,"6'4""",85 kg,Right,30,Balanced,Scouting Required,£5.2M - £8M,12,951,0,0,2,,,,,,,,-7,,0,,12,12,951,79.25,6.71,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.09,405,38.33,306,28.96,76%,-,-,-,0,-,7,67.1km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,15,1.42,2,-3489%,12,8,21,-1%,3,0,-,1,,79.25,,6.35
- - -,Inj,Denis Cheryshev,"D/WB/M/AM (L), ST (C)",Bologna,,Italy (Serie A),£675K,"£9,750 p/w",30/6/2024,RUS,ESP,-,"5'10""",73 kg,Left,32,Balanced,Scouting Required,£700K,0 (2),23,0,0,-,,,,,,,,3,0,2,,0 (2),-,23,23,6.9,0,-,0,-,-,-,-,0,0,-,1,0,0,-,0,-,0,-,30,-,29,-,97%,4,1,25%,0,-,0,4.9km,2,-,2,-,100%,0,2,7.83,67%,3,0,0,2,-,1,-,-,-,-,-,-,-,-,3,0,-,0,2,,3,19.174
- - -,Set,Thiago,"DM, M/AM (C)",Liverpool,,England (Premier Division),-,"£165,000 p/w",30/6/2025,ESP,BRA,-,"5'9""",70 kg,Right,32,Fairly Ambitious,Scouting Required,£19M - £29M,6 (2),495,0,1,-,0.05,0.05,0.05,0.009,,,0.167,3,0,1,6.98,6 (2),6,495,136.83,7.14,0,-,2,0,0%,0.36,0,0,0,-,0,0.05,3,1.38,1,0.18,6,1.09,485,88.18,449,81.64,93%,1,0,0%,2,0.36,4,67.5km,19,3.45,13,2.36,68%,1,6,1.09,100%,7,0,0,6,1.09,7,-,-,-,-,-,-,-,-,6,0,-,0,2,61.88,6,12.273
- - -,,Germán,D (C),Granada,,Spain (First Division),-,"£6,000 p/w",30/6/2024,ESP,,-,"6'2""",81 kg,Right,36,Fairly Professional,Scouting Required,£20K - £65K,1,90,0,1,-,,,,,,,,0,,,,1,1,90,90,7.2,0,-,0,-,-,-,-,0,0,-,0,0,0,-,1,1,1,1,56,56,52,52,93%,0,0,0%,0,-,0,9.7km,15,15,12,12,80%,0,-,-,-,0,0,0,3,3,11,-,-,-,-,-,-,-,-,0,0,-,0,,90,,9.7
- - -,,José Morales,"M (RLC), AM (RL), ST (C)",Levante,,Spain (First Division),-,"£27,500 p/w",30/6/2024,ESP,,-,"5'11""",69 kg,Right,36,Professional,Scouting Required,£180K - £1.8M,11 (1),819,2,2,-,0.82,2.82,0.82,0.31,0.141,1.77,0.25,7,0,1.4,6.77,11 (1),11,819,68.25,6.78,2,0.22,20,7,35%,2.2,0.77,0,0,-,5,2.82,0,-,2,0.22,8,0.88,381,41.87,320,35.16,84%,25,5,20%,15,1.65,9,120.4km,71,7.8,32,3.52,45%,0,14,1.54,82%,16,0,0,17,1.87,5,-,-,-,-,-,-,-,-,17,0,-,0,1,68.25,17,13.231
- - -,Set,David De Gea,GK,Man UFC,,England (Premier Division),-,"£350,000 p/w",30/6/2025,ESP,,-,"6'4""",76 kg,Right,33,Resolute,Scouting Required,Not for Sale,10,900,0,0,5,,,,,,,,-3,,0,,10,10,900,90,7.67,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.1,394,39.4,312,31.2,79%,-,-,-,0,-,3,58.1km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,9,0.9,5,-3039%,15,9,22,-1%,2,0,-,3,,90,,5.81
- - -,,Nacho,"D (RLC), WB (RL)",Chelsea,,England (Premier Division),-,"£90,000 p/w",30/6/2024,ESP,,-,"5'11""",75 kg,Right,33,Professional,Scouting Required,£9M - £13.5M,4 (5),427,0,0,-,,,,,,,0,6,0,2,13.28,4 (5),4,427,71,6.74,0,-,0,-,-,-,-,0,0,-,1,0,0,-,0,-,8,1.69,303,63.86,285,60.07,94%,23,5,21%,1,0.21,1,58.6km,40,8.43,25,5.27,63%,0,10,2.11,91%,7,0,0,8,1.69,25,-,-,-,-,-,-,-,-,11,0,-,0,5,47.44,11,12.351
- - -,,Luis Hernández,D (RC),S. Gijón,,Spain (First Division),-,"£13,500 p/w",30/6/2024,ESP,,-,"6'0""",74 kg,Right,34,Balanced,Scouting Required,£55K - £550K,4 (2),402,0,1,-,0.31,0.31,0.31,0.062,,,,3,0.5,0.2,20.06,4 (2),4,402,67,6.68,0,-,3,0,0%,0.67,0,0,0,-,0,0.31,1,0.22,1,0.22,2,0.45,248,55.52,235,52.61,95%,1,0,0%,1,0.22,3,47.2km,59,13.21,42,9.4,71%,0,1,0.22,50%,6,1,1,8,1.79,47,-,-,-,-,-,-,-,-,2,0,-,0,2,67,2,10.567
- - -,,César Azpilicueta,"D (RLC), WB (RL)",Paris SG,,France (Ligue 1 Uber Eats),-,"£110,000 p/w",30/6/2024,ESP,BAS,-,"5'10""",74 kg,Either,34,Model Professional,Scouting Required,£750K - £7M,5,450,0,2,-,0.25,0.25,0.25,0.05,,,,12,0,2,10.72,5,5,450,90,7.14,0,-,5,1,20%,1,0.2,0,0,-,2,0.25,1,0.2,2,0.4,4,0.8,328,65.6,314,62.8,96%,23,4,17%,7,1.4,2,61.7km,31,6.2,22,4.4,71%,0,10,2,83%,14,0,0,12,2.4,14,-,-,-,-,-,-,-,-,12,0,-,0,,90,12,12.34
- - -,,Yuri,D/WB (L),A. Bilbao,,Spain (First Division),-,"£75,000 p/w",30/6/2024,ESP,BAS,-,"5'11""",78 kg,Left,33,Fairly Determined,Scouting Required,£450K - £4.4M,5 (2),478,0,0,-,0.3,0.3,0.3,0.056,,,0,3,0.067,2.5,14.61,5 (2),5,478,68.29,6.8,0,-,4,1,25%,0.75,0.19,0,0,-,1,0.3,2,0.38,0,-,9,1.69,321,60.44,279,52.53,87%,25,9,36%,2,0.38,5,68.7km,32,6.03,27,5.08,84%,0,15,2.82,100%,8,1,1,17,3.2,24,-,-,-,-,-,-,-,-,15,0,-,0,2,68.29,15,12.935
- - -,,Iker Muniain,"M (LC), AM (RLC), ST (C)",A. Bilbao,,Spain (First Division),-,"£70,000 p/w",30/6/2025,ESP,BAS,-,"5'7""",66 kg,Right,30,Balanced,Scouting Required,£84M - £125M,12,962,4,1,-,-2.25,1.75,-2.25,0.164,0.08,1.71,0.063,-3,0,1.403,5.49,12,12,962,80.17,7.05,4,0.37,22,10,45%,2.06,0.94,0,0,-,3,1.75,7,0.65,1,0.09,16,1.5,548,51.27,467,43.69,85%,27,8,29%,18,1.68,16,147.6km,50,4.68,27,2.53,54%,0,15,1.4,68%,13,0,0,15,1.4,7,-,-,-,-,-,-,-,-,22,0,-,0,,80.17,22,13.809
- - -,,Jordi Masip,GK,Valladolid,,Spain (First Division),-,"£16,000 p/w",30/6/2024,ESP,,-,"5'10""",72 kg,Right,34,Balanced,Scouting Required,£220K - £650K,12,"1,058",0,0,2,,,,,,,,-7,,,,12,12,"1,058",88.17,6.46,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.09,432,36.75,343,29.18,79%,-,-,-,0,-,7,78.3km,-,-,-,-,-,0,-,-,-,0,0,0,0,-,-,25,2.13,2,-2658%,8,11,20,-1%,0,0,-,1,,88.17,,6.661
- - -,,Rubén Rochina,"M (RLC), AM (RC)",Granada,,Spain (First Division),-,"£36,000 p/w",30/6/2024,ESP,,-,"6'0""",75 kg,Left,32,Fairly Professional,Scouting Required,£110K - £1.1M,1 (11),360,1,1,-,-0.3,0.7,-0.3,0.175,,,0.167,4,0.2,1,7.65,1 (11),1,360,30,6.84,1,0.25,6,2,33%,1.5,0.5,0,0,-,1,0.7,2,0.5,1,0.25,6,1.5,163,40.75,138,34.5,85%,20,2,10%,10,2.5,6,49.4km,24,6,17,4.25,71%,0,4,1,80%,10,1,0,8,2,5,-,-,-,-,-,-,-,-,5,0,-,0,11,30,5,12.35
- - -,,Juan Carlos,GK,Girona,,Spain (First Division),-,"£12,500 p/w",30/6/2024,ESP,,-,"6'2""",80 kg,Right Only,35,Balanced,Scouting Required,£35K - £350K,2,180,0,0,0,,,,,,,,0,,0,,2,2,180,90,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,1,0.5,81,40.5,42,21,52%,-,-,-,0,-,0,13.3km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,4,2,0,-2445%,7,0,4,-7%,1,0,-,0,,90,,6.65
- - -,,Asier Illarramendi,"DM, M (C)",Real San Sebastián,,Spain (First Division),-,"£48,000 p/w",30/6/2025,ESP,BAS,-,"5'10""",74 kg,Right,33,Fairly Professional,Scouting Required,£900K - £2M,2,166,0,0,-,0.05,0.05,0.05,0.025,,,,1,0,1,3.9,2,2,166,83,6.7,0,-,1,0,0%,0.54,0,0,0,-,0,0.05,0,-,0,-,0,-,141,76.45,128,69.4,91%,1,0,0%,0,-,3,21.7km,7,3.8,4,2.17,57%,0,2,1.08,100%,4,0,0,1,0.54,1,-,-,-,-,-,-,-,-,2,0,-,0,,83,2,11.765
- - -,Set,Oriol Romeu,"DM, M (C)",Southampton,,England (Premier Division),-,"£73,000 p/w",30/6/2025,ESP,,-,"6'0""",78 kg,Right,32,Fairly Ambitious,Scouting Required,Not for Sale,10 (2),915,0,2,-,0.26,0.26,0.26,0.026,,,0.2,2,0.056,1.18,7.63,10 (2),10,915,99.55,7.16,0,-,2,0,0%,0.2,0,0,0,-,0,0.26,1,0.1,2,0.2,10,0.98,768,75.54,698,68.66,91%,4,1,25%,1,0.1,7,127.5km,49,4.82,32,3.15,65%,1,12,1.18,67%,9,1,0,13,1.28,18,-,-,-,-,-,-,-,-,18,0,-,0,2,76.25,18,12.541
- - -,,Pablo Sarabia,M/AM (RLC),Zebre,,Italy (Serie A),-,"£100,000 p/w",30/6/2024,ESP,,-,"5'9""",69 kg,Left,31,Balanced,Scouting Required,£18M - £27M,10 (2),859,2,3,-,-0.57,1.43,-0.57,0.15,0.102,0.7,0.136,-10,0,0.7,3.12,10 (2),10,859,143.25,6.94,2,0.21,14,6,43%,1.47,0.63,0,0,-,1,1.43,7,1.26,3,0.31,22,2.31,559,58.57,484,50.71,87%,29,8,27%,6,0.63,12,137.4km,24,2.51,11,1.15,46%,0,7,0.73,70%,2,0,0,9,0.94,5,-,-,-,-,-,-,-,-,10,0,-,0,2,71.58,10,14.396
- - -,,Víctor Ruiz,D (C),Real Hispalis,,Spain (First Division),-,"£21,000 p/w",30/6/2024,ESP,,-,"6'0""",78 kg,Left,34,Balanced,Scouting Required,£12K - £120K,8 (2),762,0,1,-,0.12,0.12,0.12,0.014,,,,3,0.045,1.222,27.87,8 (2),8,762,153.43,7.28,0,-,1,0,0%,0.12,0,0,0,-,0,0.12,1,0.38,1,0.12,2,0.24,447,52.8,425,50.2,95%,11,4,36%,0,-,2,89.7km,112,13.23,95,11.22,85%,6,11,1.3,50%,5,1,0,18,2.13,77,-,-,-,-,-,-,-,-,22,0,-,1,2,76.2,22,10.594
- - -,,Kenan Kodro,"AM (RC), ST (C)",RC Lens,,France (Ligue 1 Uber Eats),-,"£20,000 p/w",30/6/2026,BIH,ESP,-,"6'2""",76 kg,Right,30,Fairly Professional,Scouting Required,£3.3M - £6.6M,9 (1),763,1,3,-,0.79,1.79,0.79,0.211,0.112,1.12,0.3,-8,0,0.778,8.32,9 (1),9,763,76.3,6.92,1,0.12,16,3,19%,1.89,0.35,0,0,-,2,1.79,3,0.35,3,0.35,10,1.18,372,43.88,335,39.52,90%,19,1,5%,15,1.77,12,107.9km,81,9.55,47,5.54,58%,0,7,0.83,70%,4,0,0,15,1.77,11,-,-,-,-,-,-,-,-,10,0,-,2,1,76.3,10,12.727
- - -,Ask,Sergio Canales,M/AM (C),Real Hispalis,,Spain (First Division),-,"£26,500 p/w",30/6/2026,ESP,,-,"5'11""",63 kg,Left,32,Fairly Professional,Scouting Required,£31M - £47M,17,"1,359",3,8,-,-1.21,1.79,-1.21,0.119,0.099,0,0.32,-16,0,1.192,5.81,17,17,"1,359",164.58,7.36,3,0.2,18,8,44%,1.19,0.53,0,0,-,0,1.79,5,1.02,8,0.53,25,1.66,"1,138",75.36,992,65.7,87%,14,7,50%,11,0.73,19,182.3km,41,2.72,26,1.72,63%,1,18,1.19,90%,3,0,0,16,1.06,24,-,-,-,-,-,-,-,-,20,0,-,2,,79.94,20,12.073
- - -,,Aitor Fernández,GK,Levante,,Spain (First Division),-,"£22,000 p/w",30/6/2026,ESP,BAS,-,"6'0""",78 kg,Right,32,Balanced,Scouting Required,Not for Sale,12,"1,080",0,0,1,,,,,,,,-9,,0,,12,12,"1,080",90,6.7,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,447,37.25,269,22.42,60%,-,-,-,0,-,9,77.2km,-,-,-,-,-,0,0,0,0%,0,0,0,0,-,-,20,1.67,1,-4337%,12,11,24,-1%,1,0,-,0,,90,,6.433
- - -,,Marc Bartra,D (RC),Real Hispalis,,Spain (First Division),-,"£105,000 p/w",30/6/2025,ESP,,-,"6'0""",72 kg,Right,32,Fairly Professional,Scouting Required,Not for Sale,10,645,0,0,-,0.62,0.62,0.62,0.087,,,,1,0.25,1,19.84,10,10,645,115.19,6.84,0,-,5,0,0%,0.7,0,0,0,-,0,0.62,0,-,0,-,1,0.14,471,65.72,444,61.95,94%,5,1,20%,1,0.14,4,77.1km,80,11.16,59,8.23,74%,2,8,1.12,100%,5,2,0,23,3.21,46,-,-,-,-,-,-,-,-,8,0,-,0,,64.5,8,10.758
- - -,,Nacho Monreal,"D (LC), WB (L)",Real San Sebastián,,Spain (First Division),-,"£30,000 p/w",30/6/2024,ESP,BAS,-,"5'10""",72 kg,Left,37,Fairly Professional,Scouting Required,£275K - £2.8M,8 (2),721,0,0,-,,,,,,,,10,0.048,1.778,13.58,8 (2),8,721,72.1,6.81,0,-,0,-,-,-,-,0,0,-,2,0,1,0.12,0,-,1,0.12,452,56.42,405,50.55,90%,24,6,25%,10,1.25,3,93.9km,61,7.61,51,6.37,84%,0,16,2,76%,13,1,0,26,3.25,26,-,-,-,-,-,-,-,-,21,0,-,0,2,72.1,21,11.721
- - -,,Jordi Amat,"D (C), DM",Verona,,Italy (Serie A),-,"£13,250 p/w",30/6/2025,ESP,IDN,-,"6'0""",83 kg,Right,31,Resolute,Scouting Required,£200K - £600K,1 (1),95,0,0,-,,,,,,,,2,0,0.5,12.51,1 (1),1,95,47.5,6.2,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,0,-,33,31.26,31,29.37,94%,0,0,0%,1,0.95,0,11.4km,5,4.74,4,3.79,80%,0,1,0.95,100%,2,0,0,2,1.89,7,-,-,-,-,-,-,-,-,1,0,-,0,1,47.5,1,10.8
- - -,,Sergi Gómez,"D (C), DM",Espanyol,,Spain (First Division),-,"£59,000 p/w",30/6/2026,ESP,,-,"6'0""",75 kg,Right,31,Balanced,Scouting Required,Not for Sale,11,990,0,0,-,0.24,0.24,0.24,0.022,,,,7,0.167,0.909,21.11,11,11,990,90,7.19,0,-,1,0,0%,0.09,0,0,0,-,1,0.24,0,-,0,-,2,0.18,809,73.55,780,70.91,96%,0,0,0%,1,0.09,0,113.4km,145,13.18,114,10.36,79%,1,10,0.91,83%,7,2,0,30,2.73,92,-,-,-,-,-,-,-,-,12,0,-,0,,90,12,10.309
- - -,,Jony,"D (L), M (LC), AM (L)",Montpellier,,France (Ligue 1 Uber Eats),-,"£19,250 p/w",30/6/2025,ESP,,-,"5'10""",71 kg,Left,32,Fairly Sporting,Scouting Required,£500K - £5M,0 (7),183,0,0,-,0.13,0.13,0.13,0.043,,,,4,0,1.667,6.39,0 (7),-,183,26.14,6.68,0,-,4,0,0%,1.97,0,0,0,-,1,0.13,0,-,0,-,3,1.48,98,48.2,85,41.8,87%,13,5,38%,2,0.98,0,26.0km,13,6.39,5,2.46,38%,0,5,2.46,100%,4,0,0,2,0.98,2,-,-,-,-,-,-,-,-,5,0,-,0,7,,5,12.787
- - -,,Juanpe,"D (C), DM",Girona,,Spain (First Division),-,"£16,250 p/w",30/6/2025,ESP,,-,"6'3""",78 kg,Right,32,Fairly Sporting,Scouting Required,£190K - £1.9M,4 (1),403,0,0,-,0.1,0.1,0.1,0.02,,,,0,0.333,0.6,21.93,4 (1),4,403,80.6,6.48,0,-,1,0,0%,0.22,0,0,0,-,0,0.1,0,-,0,-,1,0.22,224,50.02,215,48.01,96%,0,0,0%,0,-,1,49.2km,61,13.62,54,12.06,89%,0,3,0.67,100%,1,1,0,12,2.68,40,-,-,-,-,-,-,-,-,3,0,-,0,1,80.6,3,10.988
- - -,Wnt,Édgar Méndez,"M/AM (RL), ST (C)",Alavés,,Spain (First Division),£300K,"£10,000 p/w",30/6/2025,ESP,,-,"6'2""",75 kg,Either,33,Driven,Scouting Required,£300K,4 (5),456,0,0,-,0.97,0.97,0.97,0.191,0.097,,0,-4,0,0.5,7.22,4 (5),4,456,50.67,6.45,0,-,10,3,30%,1.97,0.59,0,0,-,3,0.97,0,-,0,-,6,1.18,197,38.88,159,31.38,81%,3,1,33%,4,0.79,8,64.8km,61,12.04,27,5.33,44%,0,3,0.59,75%,4,0,0,2,0.39,10,-,-,-,-,-,-,-,-,4,0,-,0,5,50.67,4,12.789
- - -,,Marcos Alonso,"D (LC), WB/M (L)",Lazio,,Italy (Serie A),-,"£49,500 p/w",30/6/2024,ESP,,-,"6'2""",87 kg,Left,32,Balanced,Scouting Required,£550K - £7.4M,1 (1),107,0,1,-,,,,,,,,-3,0,2,11.44,1 (1),1,107,53.5,7.2,0,-,0,-,-,-,-,0,0,-,0,0,2,1.68,1,0.84,4,3.36,98,82.43,85,71.5,87%,8,2,25%,0,-,4,16.4km,9,7.57,7,5.89,78%,0,4,3.36,100%,1,0,0,2,1.68,2,-,-,-,-,-,-,-,-,4,0,-,0,1,53.5,4,13.794
- - -,,Samu Sáiz,M/AM (C),Girona,,Spain (First Division),-,"£13,500 p/w",30/6/2024,ESP,,-,"5'8""",68 kg,Right,32,Balanced,Scouting Required,£900K - £2M,11,686,1,3,-,-0.64,0.36,-0.64,0.047,,,0.231,1,0.333,1.625,6.72,11,11,686,62.36,6.81,1,0.13,5,3,60%,0.66,0.39,0,0,-,2,0.36,1,0.13,3,0.39,13,1.71,373,48.94,321,42.11,86%,21,4,19%,8,1.05,8,96.8km,40,5.25,19,2.49,48%,0,13,1.71,87%,9,5,0,10,1.31,13,-,-,-,-,-,-,-,-,15,0,-,0,,62.36,15,12.7
- - -,,Álex Fernández,"DM, M (RC), AM (C)",Valencia,,Spain (First Division),-,"£25,000 p/w",30/6/2025,ESP,,-,"6'0""",72 kg,Right,31,Resolute,Scouting Required,£375K - £3.8M,10 (4),893,0,1,-,0.53,0.53,0.53,0.053,,,0.04,8,0.091,1.9,7.21,10 (4),10,893,114.83,6.89,0,-,9,3,33%,0.91,0.3,0,0,-,0,0.53,10,1.13,1,0.1,25,2.52,805,81.13,726,73.17,90%,23,5,21%,1,0.1,11,134.9km,31,3.12,17,1.71,55%,1,19,1.91,86%,19,2,0,13,1.31,17,-,-,-,-,-,-,-,-,22,0,-,1,4,63.79,22,13.596
- - -,Inj,Suso,M/AM (RC),Lazio,,Italy (Serie A),-,"£29,000 p/w",30/6/2025,ESP,,-,"5'9""",70 kg,Left,29,Balanced,Scouting Required,£17.5M - £21M,0 (2),21,0,0,-,,,,,,,,-1,,,,0 (2),-,21,10.5,6.6,0,-,0,-,-,-,-,0,0,-,0,0,0,-,0,-,2,-,19,-,16,-,84%,2,2,100%,0,-,1,4.5km,0,-,-,-,-,0,-,-,-,0,0,0,0,-,0,-,-,-,-,-,-,-,-,0,0,-,0,2,,,19.286
- - -,,Hugo Mallo,"D (RC), WB (R)",Vigo,,Spain (First Division),-,"£33,500 p/w",30/6/2025,ESP,,-,"5'8""",69 kg,Right,32,Fairly Determined,Scouting Required,Not for Sale,10,854,0,1,-,0.77,0.77,0.77,0.081,,,0.143,19,0.111,2.3,17.62,10,10,854,85.4,7,0,-,4,0,0%,0.42,0,0,0,-,3,0.77,1,0.11,1,0.11,7,0.74,510,53.75,448,47.21,88%,51,11,21%,10,1.05,9,119.1km,84,8.85,64,6.74,76%,2,23,2.42,85%,28,3,0,27,2.85,48,-,-,-,-,-,-,-,-,27,0,-,1,,85.4,27,12.552
- - -,Set,Rodrigo,"M/AM (C), ST (C)",Leeds,,England (Premier Division),-,"£100,000 p/w",30/6/2024,ESP,BRA,-,"6'0""",75 kg,Left,32,Fairly Professional,Scouting Required,£3.4M - £5.2M,5 (3),393,0,0,-,0.34,0.34,0.34,0.068,,,0,-6,0,1.2,8.2,5 (3),5,393,77.57,6.56,0,-,8,3,38%,1.83,0.69,0,0,-,4,0.34,0,-,0,-,8,1.83,164,37.56,136,31.15,83%,3,1,33%,9,2.06,11,51.9km,60,13.74,16,3.66,27%,1,6,1.37,100%,5,0,0,3,0.69,5,-,-,-,-,-,-,-,-,6,0,-,0,3,49.13,6,11.885
- - -,,Alfredo Ortuño,"AM (C), ST (C)",S. Gijón,,Spain (First Division),-,"£12,000 p/w",30/6/2024,ESP,,-,"6'0""",76 kg,Either,32,Fairly Determined,Scouting Required,£70K - £700K,0 (3),42,0,0,-,0.27,0.27,0.27,0.27,,,,-1,,,,0 (3),-,42,14,7,0,-,3,1,33%,-,-,0,0,-,0,0.27,0,-,0,-,1,-,21,-,17,-,81%,0,0,0%,0,-,1,5.7km,10,-,6,-,60%,0,-,-,-,0,0,0,1,-,1,-,-,-,-,-,-,-,-,0,0,-,0,3,,,12.214
